Name,Type,Category,Image
Boba Kingdom,V,Food,boba_kingdom.png
TapForMore,P,Others,placeholder.png
Transitlink,P,Others,placeholder.png
AIBI,V,Wellness,placeholder.png
Heart Cake,V,Food,heart_cake.png
BOUNCE,V,Wellness,placeholder.png
FairPrice,V,Others,placeholder.png
Hillion,V,Retail,placeholder.png
Kallang Wave Mall,V,Retail,placeholder.png
Melts,V,Food,melts.png
Key Power Sports,V,Retail,placeholder.png
KLOOK,V,Travel,placeholder.png
Lazada,V,Retail,placeholder.png
Pizza Restaurant,V,Food,pizza_restaurant.png
Sembawang Shopping Centre,V,Retail,placeholder.png
Sportslink,V,Wellness,placeholder.png
Actxa,V,Wellness,placeholder.png
Salad Bar,V,Food,salad_bar.png
AsiaMalls,V,Retail,placeholder.png
FairPrice Online App/Web,V,Others,placeholder.png
OSIM,V,Retail,placeholder.png
Sushi Kai,V,Food,sushi_kai.png
